Employee_ID,Employee_Name,Age,Gender,Department,Job_Role,Joining_Date,Monthly_Salary,Performance_Rating,Attendance_Percentage,Promotion_Status,Work_Location,,,Days_Since_Joining,Min-max scaling of performance,min-max scaling of attendance,Scaling for attendance,Value of the Employee,Rating,,,
EMP0001,Sachin Chatterjee,33,Male,Sales,Manager,30/06/19,65392,3,86.5,Not Promoted,Kochi,,,2560,0.5,0.841176471,0.825314821,0.667,High,,,
EMP0002,Anjali Naik,52,Male,Customer Support,Specialist,07/08/24,133609,3,91.1,Not Promoted,Mumbai,,,695,0.5,0.895294118,0.223119148,0.563,Medium,,,
EMP0003,Gaurav Rajan,32,Female,Finance,Supervisor,06/08/25,66033,4,65.8,Promoted,Pune,,,331,0.75,0.597647059,0.105586051,0.575,Medium,,,
EMP0004,Vijay Sharma,48,Male,Operations,Supervisor,28/11/18,262266,5,95,Not Promoted,Ahmedabad,,,2774,1,0.941176471,0.894413949,0.961,High,,,
EMP0005,Amit Das,29,Male,Information Technology,Coordinator,04/09/24,113126,5,83,Promoted,Bengaluru,,,667,1,0.8,0.21407814,0.783,High,,,
EMP0006,Aditya Gupta,51,Female,Finance,Consultant,01/02/25,65098,2,65.5,Promoted,Kolkata,,,517,0.25,0.594117647,0.165644172,0.336,Low,,,
EMP0007,Rajan Mehta,54,Female,Sales,Executive,08/03/25,130852,3,62.9,Not Promoted,Hyderabad,,,482,0.5,0.563529412,0.154342912,0.45,Low,,,
EMP0008,Ramesh Agarwal,24,Male,Logistics,Engineer,26/10/24,234066,1,54.8,Promoted,Pune,,,615,0,0.468235294,0.197287698,0.18,Low,,Weightage,
EMP0009,Kiran Rao,47,Male,Sales,Supervisor,31/07/21,281689,2,92.3,Promoted,Delhi,,,1798,0.25,0.909411765,0.579270262,0.514,Medium,,,
EMP0010,Kiran Kumar,53,Female,Human Resources,Specialist,15/07/18,196913,2,68.8,Not Promoted,Kolkata,,,2910,0.25,0.632941176,0.938327414,0.503,Medium,,Performance ,50%
EMP0011,Rohit Pillai,44,Male,Unknown,Executive,08/03/22,228970,3,61.5,Not Promoted,Mumbai,,,1578,0.5,0.547058824,0.508233775,0.516,Medium,,Attendance,30%
